at,kind,visitor_id,first_name,surname,country,lap,detail
2026-09-14T19:37:34Z,register,e6c56fcf-09f7-40f3-bf92-7e5c07a343fb,Peter,Novak,Denmark,,
2026-09-14T19:37:43Z,lap,e6c56fcf-09f7-40f3-bf92-7e5c07a343fb,,,,2:12.123,
2026-09-14T19:38:42Z,lap,e6c56fcf-09f7-40f3-bf92-7e5c07a343fb,,,,1:12.123,
2026-09-14T19:38:57Z,register,2d3df7ff-2cb5-4ed2-b0dd-0b4e058172b7,David,Bako,Slovakia,,
2026-09-14T19:39:11Z,lap,2d3df7ff-2cb5-4ed2-b0dd-0b4e058172b7,,,,2:12.132,
2026-09-14T19:42:38Z,register,2b7a9498-8da5-4c95-b3f7-fbe6b21cd9e4,teter,parket,Czechia,,
2026-09-14T19:42:43Z,lap,2b7a9498-8da5-4c95-b3f7-fbe6b21cd9e4,,,,1:21.457,
2026-09-14T19:54:04Z,register,8a530507-4016-4ea3-936b-ba58b6a13940,David,Bako,Slovakia,,
2026-09-14T19:54:10Z,lap,8a530507-4016-4ea3-936b-ba58b6a13940,,,,1:23.222,
2026-09-14T19:55:28Z,register,0c540977-838f-4c31-990c-d89c4b7a5c09,david,bako,Slovakia,,
2026-09-14T19:55:33Z,lap,0c540977-838f-4c31-990c-d89c4b7a5c09,,,,1:23.112,
2026-09-14T19:57:00Z,register,6792a381-84f4-49e8-8398-2d4c64c8fbae,david,bako,Slovakia,,
2026-09-14T19:57:15Z,lap,6792a381-84f4-49e8-8398-2d4c64c8fbae,,,,1:21.232,
2026-09-14T20:00:19Z,register,8719c7b5-bf3b-444a-bd33-8c64165846fa,david,bako,Slovakia,,
2026-09-14T20:00:24Z,lap,8719c7b5-bf3b-444a-bd33-8c64165846fa,,,,1:23.223,
2026-09-14T20:03:08Z,lap,8719c7b5-bf3b-444a-bd33-8c64165846fa,,,,1:22.322,
2026-09-14T20:03:22Z,register,74af6e21-b205-45ec-a416-95dc7ac321ca,da,ba,Slovakia,,
2026-09-14T20:03:25Z,lap,74af6e21-b205-45ec-a416-95dc7ac321ca,,,,12:22.233,
2026-09-14T20:08:33Z,register,fc1a5106-a627-4ab9-b719-e081018b4694,David,Bako,Slovakia,,
2026-09-14T20:08:38Z,lap,fc1a5106-a627-4ab9-b719-e081018b4694,,,,1:23.222,
2026-09-14T20:37:53Z,register,bfd192d5-ddb8-48d3-8525-a868a386450b,David,Bako,Slovakia,,
2026-09-14T20:38:00Z,lap,bfd192d5-ddb8-48d3-8525-a868a386450b,,,,12:21.233,
2026-09-14T20:43:41Z,register,0622dac3-c1a0-4346-a10a-4dc8896001d5,David,Bako,Slovakia,,
2026-09-14T20:43:48Z,lap,0622dac3-c1a0-4346-a10a-4dc8896001d5,,,,1:21.232,
